scenario,hour,generator,available_mw,dispatch_mw,curtailment_mw
low,1,G_IEEE1,250.0,66.165,0.0
low,1,G_IEEE2,300.0,300.0,0.0
low,1,G_IEEE3,270.0,0.0,0.0
low,1,RES_Wind_N1,80.325,80.325,0.0
low,1,RES_PV_N6,0.0,-0.0,0.0
low,1,RES_PV_N8,0.0,-0.0,0.0
low,2,G_IEEE1,250.0,42.52312499999999,0.0
low,2,G_IEEE2,300.0,300.0,0.0
low,2,G_IEEE3,270.0,0.0,0.0
low,2,RES_Wind_N1,83.671875,83.671875,0.0
low,2,RES_PV_N6,0.0,-0.0,0.0
low,2,RES_PV_N8,0.0,-0.0,0.0
low,3,G_IEEE1,250.0,25.646249999999966,0.0
low,3,G_IEEE2,300.0,300.0,0.0
low,3,G_IEEE3,270.0,0.0,0.0
low,3,RES_Wind_N1,87.01875,87.01875,0.0
low,3,RES_PV_N6,0.0,-0.0,0.0
low,3,RES_PV_N8,0.0,-0.0,0.0
low,4,G_IEEE1,250.0,16.649999999999977,0.0
low,4,G_IEEE2,300.0,300.0,0.0
low,4,G_IEEE3,270.0,0.0,0.0
low,4,RES_Wind_N1,89.25,89.25,0.0
low,4,RES_PV_N6,0.0,-0.0,0.0
low,4,RES_PV_N8,0.0,-0.0,0.0
low,5,G_IEEE1,250.0,32.41125000000001,0.0
low,5,G_IEEE2,300.0,300.0,0.0
low,5,G_IEEE3,270.0,0.0,0.0
low,5,RES_Wind_N1,87.01875,87.01875,0.0
low,5,RES_PV_N6,0.0,-0.0,0.0
low,5,RES_PV_N8,0.0,-0.0,0.0
low,6,G_IEEE1,250.0,79.69499999999998,0.0
low,6,G_IEEE2,300.0,300.0,0.0
low,6,G_IEEE3,270.0,0.0,0.0
low,6,RES_Wind_N1,80.325,80.325,0.0
low,6,RES_PV_N6,0.0,-0.0,0.0
low,6,RES_PV_N8,0.0,-0.0,0.0
low,7,G_IEEE1,250.0,161.06925000000007,0.0
low,7,G_IEEE2,300.0,300.0,0.0
low,7,G_IEEE3,270.0,0.0,0.0
low,7,RES_Wind_N1,69.16875,69.16875,0.0
low,7,RES_PV_N6,3.8367,3.8367,0.0
low,7,RES_PV_N8,7.1253,7.1253,0.0
low,8,G_IEEE1,250.0,196.02749999999997,0.0
low,8,G_IEEE2,300.0,300.0,0.0
low,8,G_IEEE3,270.0,0.0,0.0
low,8,RES_Wind_N1,58.012499999999996,58.012499999999996,0.0
low,8,RES_PV_N6,19.183500000000002,19.183500000000002,0.0
low,8,RES_PV_N8,35.6265,35.6265,0.0
low,9,G_IEEE1,250.0,128.82074999999998,0.0
low,9,G_IEEE2,300.0,300.0,0.0
low,9,G_IEEE3,270.0,0.0,0.0
low,9,RES_Wind_N1,46.856249999999996,46.856249999999996,0.0
low,9,RES_PV_N6,53.713800000000006,53.713800000000006,0.0
low,9,RES_PV_N8,99.75420000000001,99.75420000000001,0.0
low,10,G_IEEE1,250.0,6.715124999999944,0.0
low,10,G_IEEE2,300.0,300.0,0.0
low,10,G_IEEE3,270.0,0.0,0.0
low,10,RES_Wind_N1,39.046875,39.046875,0.0
low,10,RES_PV_N6,92.08080000000001,92.08080000000001,0.0
low,10,RES_PV_N8,171.0072,171.0072,0.0
low,11,G_IEEE1,250.0,0.0,0.0
low,11,G_IEEE2,300.0,189.14325000000002,0.0
low,11,G_IEEE3,270.0,0.0,0.0
low,11,RES_Wind_N1,33.46875,33.46875,0.0
low,11,RES_PV_N6,130.4478,130.4478,0.0
low,11,RES_PV_N8,242.2602,242.2602,0.0
low,12,G_IEEE1,250.0,23.255257317073745,0.0
low,12,G_IEEE2,300.0,61.41224268292623,0.0
