hour,node,lambda_eur_per_mwh
1,N1,59.99999987114256
1,N2,59.99999976810198
1,N3,59.99999988838977
1,N4,59.999999890372116
1,N5,59.999999900701894
1,N6,59.999999895295
1,N7,59.99999984603432
1,N8,59.99999988056964
1,N9,59.999999888387705
2,N1,59.99999971372267
2,N2,59.9999996034259
2,N3,59.999999724733755
2,N4,59.99999972965249
2,N5,59.99999973667798
2,N6,59.999999732606476
2,N7,59.99999968135796
2,N8,59.99999971615143
2,N9,59.999999724731644
3,N1,59.9999991574029
3,N2,59.999999042516144
3,N3,59.99999916447114
3,N4,59.99999917131401
3,N5,59.99999917625113
3,N6,59.99999917296572
3,N7,59.999999120447285
3,N8,59.99999915539624
3,N9,59.999999164468896
4,N1,59.99999138127051
4,N2,59.999991264201455
4,N3,59.99999138647245
4,N4,59.99999139423039
4,N5,59.999991398161846
4,N6,59.9999913952562
4,N7,59.9999913421175
4,N8,59.99999137714867
4,N9,59.99999138646789
5,N1,59.99999950701118
5,N2,59.99999939439838
5,N3,59.99999951603331
5,N4,59.99999952191602
5,N5,59.99999952788718
5,N6,59.999999524219206
5,N7,59.99999947233008
5,N8,59.999999507203114
5,N9,59.999999516031146
6,N1,59.999999910597744
6,N2,59.999999812704125
6,N3,59.99999993227407
6,N4,59.99999993225212
6,N5,59.99999994492284
6,N6,59.99999993850556
6,N7,59.999999890636495
6,N8,59.99999992498116
6,N9,59.999999932272
7,N1,60.0000000306431
7,N2,59.999999966795485
7,N3,60.00000007936324
7,N4,60.00000007024559
7,N5,60.000000099351865
7,N6,60.00000008194772
7,N7,60.0000000447281
7,N8,60.00000007484771
7,N9,60.00000007936119
8,N1,60.000000111379045
8,N2,60.00000006777527
8,N3,60.00000016869436
8,N4,60.00000016298785
8,N5,60.00000020766292
8,N6,60.00000017046353
8,N7,60.00000014570803
8,N8,60.00000016460754
8,N9,60.00000016869234
9,N1,60.0000000174239
9,N2,59.99999992215514
9,N3,60.00000001292763
9,N4,60.00000004646455
9,N5,60.0000000810336
9,N6,60.00000002541918
9,N7,60.000000000087645
9,N8,60.00000000113931
9,N9,60.000000012925554
10,N1,59.99999976422446
10,N2,59.99999958026015
10,N3,59.99999965671919
10,N4,59.999999773525765
10,N5,59.99999978339419
10,N6,59.99999967974971
10,N7,59.999999658192074
10,N8,59.99999963752649
10,N9,59.99999965671703
11,N1,52.20000029604152
11,N2,52.20000008977349
11,N3,52.20000005332079
11,N4,52.200000300560745
11,N5,52.20000028754002
11,N6,52.200000033503066
11,N7,52.20000012872956
11,N8,52.20000005955441
11,N9,52.20000005332109
12,N1,52.20000042425942
12,N2,52.19999998965098
12,N3,52.19999966688574
12,N4,52.200000428472165
12,N5,52.200000324761376
12,N6,52.19999944597413
12,N7,52.2000000073372
12,N8,52.19999979260208
12,N9,52.19999966688595
13,N1,59.999996598817525
13,N2,52.19999990115261
13,N3,46.720977575496924
13,N4,59.99999660393985
13,N5,57.3048758348777
13,N6,41.33073600417495
13,N7,52.19999990888918
13,N8,49.91707374966685
13,N9,46.720977575508556
14,N1,59.99999796637736
14,N2,52.19999979545602
14,N3,46.720976025708524
14,N4,59.99999797232255
14,N5,57.304876692585744
14,N6,41.330733424024
14,N7,52.1999997998316
14,N8,49.91707281115784
14,N9,46.72097602572136
15,N1,52.200000185952796
15,N2,52.19999992315192
15,N3,52.1999995932612
15,N4,52.200000192024255
15,N5,52.20000014150006
15,N6,52.199999459741605
15,N7,52.19999993227404
15,N8,52.19999966777774
15,N9,52.19999959326141
16,N1,52.20000014835078
16,N2,52.20000001580665
16,N3,52.19999995427968
16,N4,52.2000001553725
16,N5,52.20000015594566
16,N6,52.19999993922237
16,N7,52.20000003923488
16,N8,52.19999995808037
16,N9,52.19999995427998
17,N1,52.20000164439375
17,N2,52.20000145910134
17,N3,52.2000015254769
17,N4,52.200001652383776
17,N5,52.200001659427436
17,N6,52.20000154678005
17,N7,52.200001531696294
17,N8,52.200001507331784
17,N9,52.200001525477546
18,N1,60.0000000006056
18,N2,59.999999909251464
18,N3,59.99999999947304
18,N4,60.00000003132741
18,N5,60.000000068259894
18,N6,60.000000011319806
18,N7,59.99999998718398
18,N8,59.99999998812467
18,N9,59.99999999947099
19,N1,67.14999875755693
19,N2,67.14999882034942
19,N3,67.14999890569074
19,N4,67.14999887757698
19,N5,67.1499989674074
19,N6,67.14999889794484
19,N7,67.1499988982498
19,N8,67.14999891303927
19,N9,67.1499989066788
20,N1,67.14999957325654
20,N2,67.14999964950636
20,N3,67.14999972926122
20,N4,67.14999970434815
20,N5,67.14999979409914
20,N6,67.14999972756327
20,N7,67.14999972741239
20,N8,67.1499997453308
20,N9,67.14999973262925
21,N1,60.000002678003064
21,N2,60.00000274528988
21,N3,60.00000284689059
21,N4,60.000002807484485
21,N5,60.00000288168152
21,N6,60.000002836302514
21,N7,60.000002823227106
21,N8,60.00000285135094
21,N9,60.000002846889224
22,N1,60.00000008639923
22,N2,60.00000005536333
22,N3,60.00000016638431
22,N4,60.00000014568625
22,N5,60.00000018712423
22,N6,60.00000016470223
22,N7,60.00000013329615
22,N8,60.00000016492769
22,N9,60.000000166382314
23,N1,59.999999993776875
23,N2,59.999999920280686
23,N3,60.000000036536456
23,N4,60.00000002789345
23,N5,60.00000005151762
23,N6,60.00000003970093
23,N7,59.999999998213276
23,N8,60.0000000315898
23,N9,60.00000003653443
24,N1,59.99999993587164
24,N2,59.999999843429094
24,N3,59.99999996224225
24,N4,59.99999996017167
24,N5,59.9999999753157
24,N6,59.99999996776947
24,N7,59.999999921361564
24,N8,59.9999999554968
24,N9,59.9999999622402
