hour,node,lambda_reference_eur_per_mwh
1,N1,67.1499997894726
1,N2,67.15000002770509
1,N3,67.14999994033464
1,N4,67.149999941062
1,N5,67.15000003101291
1,N6,67.14999995515049
1,N7,67.15000002770509
1,N8,67.14999999855122
1,N9,67.14999995068175
2,N1,67.14999971577843
2,N2,67.14999996148492
2,N3,67.14999989247396
2,N4,67.14999987994045
2,N5,67.14999996317383
2,N6,67.14999989918977
2,N7,67.14999996148492
2,N8,67.1499999384919
2,N9,67.14999989983922
3,N1,67.14999962959308
3,N2,67.14999988774491
3,N3,67.14999983068765
3,N4,67.14999980839535
3,N5,67.14999988818599
3,N6,67.1499998316703
3,N7,67.14999988774491
3,N8,67.14999986892381
3,N9,67.1499998360253
4,N1,67.14999955581372
4,N2,67.14999982447252
4,N3,67.1499997734977
4,N4,67.14999974579298
4,N5,67.14999982421729
4,N6,67.14999977138476
4,N7,67.14999982447252
4,N8,67.14999980781629
4,N9,67.14999977777018
5,N1,67.14999965390358
5,N2,67.1499999134508
5,N3,67.14999985221169
5,N4,67.14999983270586
5,N5,67.14999991464177
5,N6,67.14999985480746
5,N7,67.1499999134508
5,N8,67.14999989279866
5,N9,67.14999985814771
6,N1,67.14999980662056
6,N2,67.15000004880369
6,N3,67.14999995234298
6,N4,67.14999995820996
6,N5,67.1500000535855
6,N6,67.14999997031232
6,N7,67.15000004880369
6,N8,67.1500000153221
6,N9,67.14999996387529
7,N1,67.14999996293837
7,N2,67.15000021345176
7,N3,67.15000002970682
7,N4,67.15000008298074
7,N5,67.15000022513053
7,N6,67.1500000777068
7,N7,67.15000021345176
7,N8,67.15000014348223
7,N9,67.15000005282955
8,N1,67.15000001823826
8,N2,67.15000030783524
8,N3,67.15000004718091
8,N4,67.15000011678501
8,N5,67.15000033395991
8,N6,67.15000010050301
8,N7,67.15000030783524
8,N8,67.15000016482655
8,N9,67.15000007348765
9,N1,67.14999989534257
9,N2,67.15000017852095
9,N3,67.14999992950811
9,N4,67.14999997826982
9,N5,67.15000020590627
9,N6,67.1499999530571
9,N7,67.15000017852095
9,N8,67.14999997042956
9,N9,67.14999993981768
10,N1,60.00000053121142
10,N2,60.000000740143484
10,N3,60.00000055494906
10,N4,60.00000059359351
10,N5,60.00000076007443
10,N6,60.00000055734115
10,N7,60.000000740143484
10,N8,60.000000553081094
10,N9,60.00000055494906
11,N1,59.99999998345006
11,N2,100.68355951148585
11,N3,16.670355218680886
11,N4,60.00000000334308
11,N5,74.05732753424283
11,N6,44.785010146823446
11,N7,100.68355951148587
11,N8,1.8642136491489466e-05
11,N9,16.67035521849617
12,N1,59.99999991913392
12,N2,100.68356682564907
12,N3,16.670347031271923
12,N4,59.999999932096614
12,N5,74.05733000924108
12,N6,44.78500706472165
12,N7,100.68356682564907
12,N8,7.427628094433857e-06
12,N9,16.670347030915057
13,N1,59.999999854349184
13,N2,100.68357119177395
13,N3,16.67034202864007
13,N4,59.99999986473618
13,N5,74.05733146911449
13,N6,44.78500512000496
13,N7,100.68357119177395
13,N8,5.859782611567391e-07
13,N9,16.67034202545909
14,N1,59.999999746781
14,N2,100.68357089206154
14,N3,16.670341686397823
14,N4,59.99999975567407
14,N5,74.0573312921309
14,N6,44.78500464714054
14,N7,100.68357089206154
14,N8,3.1900119442777374e-07
14,N9,16.67034168298326
15,N1,59.999999740213234
15,N2,100.6835701234069
15,N3,16.670342969308756
15,N4,59.99999975002904
15,N5,74.05733102284434
15,N6,44.78500540972056
15,N7,100.6835701234069
15,N8,1.923756925916013e-06
15,N9,16.67034296737993
16,N1,59.999999898206205
16,N2,100.68355972238334
16,N3,16.670354746147854
16,N4,59.999999913349676
16,N5,74.05732754015695
16,N6,44.78500989132579
16,N7,100.68355972238334
16,N8,1.8040834366125097e-05
16,N9,16.670354745979093
