investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit
I1,N1,9.89863906458848e-09,2.7909186769919777e-08,2.8194973660331213,9.89863906458848e-11
I1,N2,6.663148464374639e-09,2.427503548116386e-08,3.643177937720192,6.66314846437464e-11
I1,N3,6.9131843884686806,13.84287848054425,2.0023881474410588,0.06913184388468681
I1,N4,9.889612750257767e-09,2.7923344346737144e-08,2.8235023000278083,9.889612750257767e-11
I1,N5,9.61239126940301e-09,2.7015441019843605e-08,2.8104807911675276,9.612391269403011e-11
I1,N6,8.695127336201325e-09,2.984585399915028e-08,3.432480381844432,8.695127336201325e-11
I1,N7,6.660784166071589e-09,2.4350215496828246e-08,3.6557580743814384,6.66078416607159e-11
I1,N8,6.021551023260137,12.44585894048282,2.0668859057088067,0.06021551023260137
I1,N9,24.54875934080416,49.11044739920656,2.0005266546231018,0.2454875934080416
I2,N1,5.432730766951003e-08,1.297834422158719e-07,2.3889172459159047,5.432730766951004e-10
I2,N2,3.871996232183162e-08,1.038478261142006e-07,2.682022912394409,3.871996232183162e-10
I2,N3,4.701580399953185e-06,9.412270089608389e-06,2.001937495252045,4.7015803999531855e-08
I2,N4,5.4326785356573814e-08,1.2978728296356582e-07,2.389010910763578,5.432678535657382e-10
I2,N5,5.391023576525393e-08,1.2727366479670067e-07,2.3608441512090494,5.391023576525393e-10
I2,N6,5.333802987172471e-08,1.3177254610186095e-07,2.470517685388218,5.33380298717247e-10
I2,N7,3.873827065930947e-08,1.0391463026755023e-07,2.6824798448398925,3.8738270659309466e-10
I2,N8,1.7974298496971257,3.660066454599035,2.0362777747436267,0.017974298496971255
I2,N9,9.41087475573624,18.82174952433483,2.0000000013667543,0.0941087475573624
I3,N1,3.112631982026436e-08,8.32134296416879e-08,2.6734104809754267,3.112631982026436e-10
I3,N2,3.0868534026280706e-08,8.306019731284395e-08,2.6907723328269673,3.086853402628071e-10
I3,N3,18.19888670817521,43.37963461069867,2.3836422142906084,0.1819888670817521
I3,N4,3.215907370744749e-08,9.104073048810557e-08,2.8309500241302685,3.215907370744749e-10
I3,N5,3.240414460468309e-08,8.864648216775002e-08,2.735652591642203,3.2404144604683095e-10
I3,N6,3.399636580213901e-08,9.732512211036433e-08,2.862809591966467,3.3996365802139013e-10
I3,N7,3.081219243328986e-08,8.296438703615818e-08,2.69258304860262,3.081219243328986e-10
I3,N8,46.558892303211664,212.20732578690973,4.557825912285966,0.46558892303211663
I3,N9,16.63895226220417,40.711017148785956,2.446729608165421,0.1663895226220417
I4,N1,3.066659280418769e-08,9.222252014154611e-08,3.0072633347436177,3.066659280418769e-10
I4,N2,3.2077407516994266e-08,9.759100299547252e-08,3.0423594220876438,3.207740751699427e-10
I4,N3,17.596839378431305,35.85292689580613,2.0374640084373086,0.17596839378431306
I4,N4,3.5031445515444434e-08,1.018614680426659e-07,2.907715241089834,3.5031445515444434e-10
I4,N5,3.418716697048528e-08,9.977348666962571e-08,2.9184485147822548,3.418716697048528e-10
I4,N6,3.2242020385999e-08,9.875884864933233e-08,3.063047770176898,3.2242020385999e-10
I4,N7,3.207739412630066e-08,9.759092650758459e-08,3.0423583076397267,3.207739412630066e-10
I4,N8,78.47069456276307,364.90586539776325,4.650218370450402,0.7847069456276308
I4,N9,0.13011248380786983,0.3511620096366025,2.6989109681062176,0.0013011248380786983
