hour,node,lambda_offer_reclear_eur_per_mwh
1,N1,67.14999961380198
1,N2,67.14999994989458
1,N3,67.14999987762899
1,N4,67.1499998579926
1,N5,67.14999995483886
1,N6,67.14999988037513
1,N7,67.14999994989458
1,N8,67.14999992358523
1,N9,67.14999988456086
2,N1,67.14999946944695
2,N2,67.14999983308537
2,N3,67.14999977700332
2,N4,67.14999974564536
2,N5,67.14999983551346
2,N6,67.14999977303737
2,N7,67.14999983308537
2,N8,67.14999981317699
2,N9,67.14999978139649
3,N1,67.14999924765208
3,N2,67.1499996509352
3,N3,67.14999960503134
3,N4,67.14999956496467
3,N5,67.14999965153086
3,N6,67.14999959632183
3,N7,67.1499996509352
3,N8,67.14999963545706
3,N9,67.14999960779458
4,N1,67.14999900955348
4,N2,67.14999944730302
4,N3,67.14999940627662
4,N4,67.14999936145962
4,N5,67.14999944689275
4,N6,67.14999939508176
4,N7,67.14999944730302
4,N8,67.14999943418204
4,N9,67.14999940826054
5,N1,67.14999931793837
5,N2,67.14999972253885
5,N3,67.14999967287669
5,N4,67.14999963525095
5,N5,67.14999972410887
5,N6,67.14999966545895
5,N7,67.14999972253885
5,N8,67.14999970515281
5,N9,67.14999967613007
6,N1,67.1499996392682
6,N2,67.14999997946542
6,N3,67.14999989873408
6,N4,67.14999988345882
6,N5,67.14999998636294
6,N6,67.14999990396798
6,N7,67.14999997946542
6,N8,67.1499999488253
6,N9,67.14999990670887
7,N1,67.14999983769101
7,N2,67.15000015038537
7,N3,67.14999999092369
7,N4,67.15000001255154
7,N5,67.15000016937525
7,N6,67.1500000181264
7,N7,67.15000015038537
7,N8,67.15000008405507
7,N9,67.15000000891673
8,N1,67.14999989386185
8,N2,67.15000024631945
8,N3,67.15000000673456
8,N4,67.15000002876891
8,N5,67.15000028869096
8,N6,67.15000002892985
8,N7,67.15000024631945
8,N8,67.15000011517203
8,N9,67.15000002811718
9,N1,67.14999977609794
9,N2,67.15000011765818
9,N3,67.14999988882927
9,N4,67.14999988497539
9,N5,67.15000016680378
9,N6,67.14999987968636
9,N7,67.15000011765818
9,N8,67.14999993891425
9,N9,67.14999989692559
10,N1,60.00000021405316
10,N2,60.000000422985366
10,N3,60.00000023779084
10,N4,60.00000027643528
10,N5,60.0000004429163
10,N6,60.000000240182935
10,N7,60.00000042298536
10,N8,60.00000023592289
10,N9,60.00000023779084
11,N1,59.99999997524718
11,N2,95.83837801447291
11,N3,21.83067045472913
11,N4,59.99999999514325
11,N5,72.3831794506401
11,N6,46.59702923205367
11,N7,95.83837801447291
11,N8,7.145676536989502
11,N9,21.830670454540616
12,N1,59.99999991610754
12,N2,95.83838965857734
12,N3,21.830657683986068
12,N4,59.99999992920402
12,N5,72.38318342522969
12,N6,46.59702455455995
12,N7,95.83838965857734
12,N8,7.145658965745429
12,N9,21.83065768343528
13,N1,59.99999987120534
13,N2,100.17865905504252
13,N3,17.208094191404637
13,N4,59.999999882326684
13,N5,73.88286996996771
13,N6,44.97383424564901
13,N7,100.17865905504253
13,N8,0.7446435724623357
13,N9,17.208094187099185
14,N1,59.999999628114445
14,N2,100.60778972145869
14,N3,16.639289769770464
14,N4,59.999999635932404
