line,node,ptdf
L12,N1,0.5429060632511921
L12,N2,-0.1269052575035251
L12,N3,0.0
L12,N4,0.34898945813469434
L12,N5,0.5085274961391261
L14,N1,0.24813670852078157
L14,N2,0.06889142550191366
L14,N3,0.0
L14,N4,-0.1894514201302626
L14,N5,0.17055875773500098
L15,N1,0.2089572282280264
L15,N2,0.05801383200161145
L15,N3,0.0
L15,N4,-0.15953803800443198
L15,N5,-0.6790862538741269
L23,N1,0.542906063251192
L23,N2,0.8730947424964749
L23,N3,0.0
L23,N4,0.3489894581346943
L23,N5,0.508527496139126
L34,N1,-0.4570939367488084
L34,N2,-0.1269052575035252
L34,N3,0.0
L34,N4,-0.651010541865306
L34,N5,-0.49147250386087443
L45,N1,-0.20895722822802662
L45,N2,-0.05801383200161152
L45,N3,0.0
L45,N4,0.1595380380044316
L45,N5,-0.3209137461258734
