investor,node,power_mw,energy_mwh
I1,N1,2.201667148050713e-06,4.435869393393703e-06
I1,N2,2.20213370141519e-06,4.436808319852958e-06
I1,N3,12.242805368430766,40.91211702116281
I1,N4,2.201856409406581e-06,4.436237305735209e-06
I1,N5,2.2003865210485653e-06,4.4333068455713395e-06
I1,N6,11.009898237356197,37.473105281380114
I1,N7,2.2022795976658946e-06,4.4370972913436225e-06
I1,N8,12.466900631862305,25.01677920487553
I1,N9,4.159451528389683,11.908055890963013
I2,N1,0.0,0.0
I2,N2,0.0,0.0
I2,N3,12.665247345161731,42.548861964597116
I2,N4,0.0,0.0
I2,N5,0.0,0.0
I2,N6,11.01726032501606,37.44887238307058
I2,N7,0.0,0.0
I2,N8,12.479365315084465,24.97624030587575
I2,N9,4.513028992593438,12.519653865522638
I3,N1,1.0078226383127888e-06,2.0465290204218445e-06
I3,N2,1.008265778519374e-06,2.047487241552539e-06
I3,N3,15.988125018878158,51.897424254916665
I3,N4,1.0078226331257096e-06,2.0465290103259855e-06
I3,N5,1.0075745258501997e-06,2.0460636556468026e-06
I3,N6,10.872556483341139,44.080476242223725
I3,N7,1.008349677749406e-06,2.047666206309491e-06
I3,N8,12.235285089313038,24.480721244418028
I3,N9,1.6222489103033548,3.8794661793272867
I4,N1,5.6547647102285275e-06,1.143865384129511e-05
I4,N2,5.762395859211367e-06,1.165144549266501e-05
I4,N3,9.922982157042782,33.185732293349965
I4,N4,5.656852567145858e-06,1.1442901310290515e-05
I4,N5,5.730648204204814e-06,1.1590901909368806e-05
I4,N6,11.491097499619384,45.74766805005178
I4,N7,5.762855766606569e-06,1.1652415670107846e-05
I4,N8,13.278608357034003,27.29244168974548
I4,N9,5.52696394439219,16.731760780748488
