iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,max_undamped_delta_power_mw
1,I1,optimal,13.679320199997164,20711.758071184297,0.010636930936016142,107.08500542682694,421.54668978972654,6.3,15.789421500606476,90.0
1,I2,optimal,197.00325910001993,8081.271645645631,0.010742183774709702,56.4216584970909,196.71443120502957,2.24216584970909,6.435721560251478,32.03094071012986
1,I3,optimal,5.154177599994,141465.78065827963,0.01012189727043733,65.15821696807316,180.83716240618543,3.115820836204525,5.64185700361129,44.51172623149322
1,I4,optimal,3.543833600007929,216572.67881481486,0.01021215837681666,64.62199048592463,131.47934494370767,3.0621968695755846,3.1739646530718253,43.7456695653655
2,I1,optimal,5.180090499983635,11722.56316043629,0.010532493004575372,75.63332235868901,349.1193187832639,0.6999999873032683,0.6999999807926209,15.2885160018323
2,I2,optimal,7.651317099982407,5077.408045525297,0.010520273295696825,42.42377457722006,166.39366464726083,2.601374001801117,2.6013740023645435,11.14874572200479
2,I3,optimal,6.857545599981677,140508.02117380084,0.010211124492343515,59.11259355313726,180.68486829028825,0.6999998625097094,0.699999761608887,15.363395892410857
2,I4,optimal,9.822246099996846,215172.58976849698,0.0105217054951936,61.94328884152806,124.55718695989032,0.7000000000000001,0.7,20.173305149326836
3,I1,optimal,26.017011599964462,9632.510438457839,0.010519130271859467,66.3579654932921,323.4995470088463,1.5167894461702136,2.4396331590781877,20.520067878522397
3,I2,optimal,4.272652700019535,4341.811016105259,0.010508426174055785,33.96841102477831,149.6116026687164,0.6300124884825297,0.6300124694251763,3.06174073116871
3,I3,optimal,4.741312300029676,138896.12339514322,0.010522091819439083,58.80030873941967,204.98569653135576,0.6300006938945469,0.6300009084985034,6.75388556709332
3,I4,optimal,44.648269500001334,213052.04102001153,0.010528761777095497,69.21660056348786,143.8351169154998,0.6300006159467662,0.6300007389507672,17.590451858328855
4,I1,optimal,67.55548390001059,7916.577288646958,0.010557984642218798,63.41323886859378,332.5448709381996,14.412159940028715,40.91501579116062,47.933991223535784
4,I2,optimal,13.725415599998087,3741.602037348666,0.01047193497652188,34.973497117292425,164.8252019023737,6.644578610991381,18.999696395499313,23.417501241037783
4,I3,optimal,60.14231480000308,137044.03971908198,0.010597881977446377,61.23496904108679,254.43386256638078,12.478656334258988,12.478656240309178,17.82665190608427
4,I4,optimal,28.160465199965984,205623.95947144815,0.010585107549559325,68.650744313866,224.03922081919197,2.5722365442770156,2.5722365221035077,3.674623634681451
5,I1,optimal,5.077922499971464,4218.6046799903925,0.010466973588336259,66.5873320441691,227.2931900912113,0.6999999970689902,0.6999999963864924,14.380197367064522
5,I2,optimal,6.996159599977545,2703.453582397528,0.01046460890211165,36.49227612096345,137.0002278094821,0.6999999958240316,0.6999999942577253,7.025250338513284
5,I3,optimal,16.131141400022898,137925.37579928664,0.010543901356868446,73.58189319643796,303.36742717009224,16.413227041725424,27.703501667259847,46.236671437771044
5,I4,optimal,5.275248799996916,204198.93540093736,0.01056539872661233,74.8370134134706,275.399034974341,7.616110685619073,7.616110601298164,30.923985694367687
6,I1,optimal,6.743485099985264,4092.028733137944,0.010494195099454373,67.57242546179677,192.07101208128734,0.6999999938761499,0.699999991559719,4.314059232590568
6,I2,optimal,5.638161199982278,2667.0608553233733,0.010490655433386564,36.9577693286625,127.55858618028726,0.6999999848637328,0.6999999811419574,3.6268185659655856
6,I3,optimal,8.063891600002535,137928.1296419346,0.010527472128160298,69.77104598546705,275.4977786990841,0.7087323428420058,0.9298482690277586,17.2232469842424
6,I4,optimal,6.529964899993502,204840.8774757662,0.010562035313341767,78.13075063709896,283.77483065364737,0.6999832417957975,0.7372390705280438,19.119483240296184
7,I1,optimal,5.6753864999627694,4502.786690832604,0.01048779784468934,67.86821955572768,193.524653433626,0.6999999379560478,0.6999999291039702,3.461552554008751
7,I2,optimal,4.496123399992939,2782.0914611430153,0.010483356309123337,37.09749717181057,128.33238743675443,0.44259060256259564,0.6999996655449519,2.9624130216288975
7,I3,optimal,5.843988100008573,138229.64050002574,0.01005810167407617,69.41303497096648,272.6275456853173,0.06790008550592708,0.10662983305671006,1.809478379374223
7,I4,optimal,30.556685100018512,205135.54236560303,0.01056077831890434,79.00032177878936,286.608938519797,0.36562284681663093,0.36561982032264506,5.1262736164192475
8,I1,optimal,11.531996600038838,4504.531972203757,0.010502273973543197,67.95695739315379,194.05767348281526,0.6999999927473166,0.6999999854587634,26.645653545123047
8,I2,optimal,29.195169100014027,2783.517468965938,0.010488405707292259,36.95413326778966,127.5537375871505,0.6999999976614422,0.9879659278958205,8.104607625640321
8,I3,optimal,72.68430330004776,138461.28045514092,0.010567900259047747,69.50599092066255,272.90031628182317,1.123309529376794,1.2209241728053495,27.90262024572501
8,I4,optimal,99.60853119997773,205326.22593642442,0.01059089379850775,79.21506859908595,287.4015843603139,29.82355382459997,35.13682680690506,42.605076892285666
9,I1,optimal,12.704963199968915,4504.049196148576,0.01046330074314028,67.95192052838847,194.04084968204623,5.360119265703917,5.317885063236431,60.001291461987236
9,I2,optimal,5.880137100000866,2787.2156142655626,0.01041304477257654,36.95131792149189,127.54631743952868,9.782911021702521,8.768433364778716,33.98032418378561
9,I3,optimal,7.804327899997588,138697.0517182794,0.010541879280935973,69.54593600457146,273.04958365333357,3.161844049623169,3.0431673224343294,37.131780713549226
9,I4,optimal,69.18382599996403,205732.5198393957,0.010604156530462205,79.25123964321575,287.5402855196487,1.698361305673214,1.7294047930405552,30.178227203844926
10,I1,optimal,12.922142199997324,4447.952890537979,0.010489396459888667,61.51366710216832,169.93855857984258,16.730646087972378,31.319842401162514,49.83312144421245
10,I2,optimal,14.387758500000928,2847.2675895204184,0.01042089844122529,31.185230123324747,105.95955941323793,14.98510684170183,18.55958971078739,26.21737914984913
10,I3,optimal,5.192293500003871,138914.81073961224,0.010510992025956511,64.37872249780828,253.70373570212735,0.6999999937933804,0.699999993131333,34.21284344620353
10,I4,optimal,28.890569899987895,208825.54937074563,0.010552000545430928,84.825077444858,333.4736518199853,0.963801872270824,0.7000000000000001,50.52097118492866
11,I1,optimal,8.608433999994304,2389.1943142751325,0.010427123110275716,52.294755912193054,121.76002805229318,0.6491620001546664,0.623998975266678,15.624287609840128
11,I2,optimal,5.4810035999980755,2267.0080293749616,0.010409947019070387,29.25414762967613,91.1691092987846,1.1544722187319374,0.7563261715900353,12.85734868881717
11,I3,optimal,5.309404400002677,138756.84077276112,0.01050642121117562,61.452584354138295,249.8275916630009,0.5374861719797274,0.5523951868238709,12.614360350890886
11,I4,optimal,36.096167300012894,207322.37743390992,0.010551566840149462,94.84334661428728,368.135381401208,0.7,0.7,27.07931682538802
12,I1,optimal,6.556468099995982,1215.659563199643,0.010399119346402586,34.268311133365145,73.68777725881782,0.6999999991217085,0.6999999987105527,10.599564276368094
12,I2,optimal,6.376215500000399,2055.697728760199,0.01042278582463041,33.219216801829326,94.47386486907743,2.595933792966754,1.2304200187623375,10.073082243144869
12,I3,optimal,8.528217800019775,138299.55572610642,0.010522855271119624,62.75622112926146,261.5595144053985,0.4753201965776884,0.3349601268180026,7.946915804224689
12,I4,optimal,27.744776899984572,204924.29746177627,0.010526795347686857,95.8828043423619,371.52946752917126,0.8772441877079786,0.6981989861017815,3.7855304738306685
13,I1,optimal,6.867726999975275,973.6260187560241,0.010391710151452571,25.16081433777208,51.86697524842279,0.6999999740301206,0.6999999842198336,6.127830506074023
13,I2,optimal,54.21334920002846,2184.3933849577443,0.010448873450513929,40.77636524620679,100.2441960975468,0.6999999992936029,0.6999999984905845,10.945788452042954
13,I3,optimal,25.814118799986318,137780.7409159588,0.010528374405112118,64.15327076325116,270.03090655226254,0.10070335727395625,0.11587165187970531,2.324219670495374
13,I4,optimal,5.672362700046506,204099.36858912397,0.01021494111046195,96.3019125788066,374.05274833443764,0.15746038723498673,0.1351103519017195,0.6972664892315663
14,I1,optimal,11.33268750004936,357.88192967962345,0.010436640295665711,25.48613778527382,51.43587975762028,0.6999923958914508,0.699999951407257,3.0702330048112465
14,I2,optimal,66.96944740001345,1858.3106923345615,0.010415292694233358,41.07513185866929,91.55104828017394,0.6346042531547199,0.6999999945148542,1.5271715385998235
14,I3,optimal,28.569070800032932,137427.88148234703,0.010526411060709506,63.84212691868912,271.4989554462904,0.4268881791791274,0.42923371082563133,3.1541148588149226
14,I4,optimal,5.0142556999926455,203380.06086902024,0.010229699895717204,96.20856453414704,374.487717784622,0.08390133048904976,0.08814551508026951,0.3648512560033197
15,I1,optimal,6.277120399987325,844.2112601574369,0.010395560588221997,20.548387785494405,41.235856947753454,0.43544199271502304,0.47153988581687517,6.2722730881448925
15,I2,optimal,18.640893000003416,1989.4474793169338,0.010425010172184557,44.63635737000871,93.45219580053285,0.19038127194465393,0.4550567661597503,4.075529970478009
15,I3,optimal,5.349131700000726,137063.9100396878,0.01020954898558557,64.77803599795682,274.0311756778047,0.22604435214950241,0.22818376058560777,1.8839031588357678
15,I4,optimal,6.4080041000270285,202660.7026721769,0.01022770639974624,96.4889950679602,375.24661337739866,0.08381541307036756,0.08203892548733277,0.20416628980288953
16,I1,optimal,11.29784789995756,802.7607010286029,0.010400144848972559,18.433873127669642,36.90947079829858,0.1306357106174498,0.14146507854668305,2.7862328272567183
16,I2,optimal,14.120907799981069,1997.033817045964,0.01042339816922322,46.241686302663766,94.32277551503849,0.057114381754583096,0.13651703074897575,2.3936708466674617
16,I3,optimal,21.986701200017706,136718.7256412967,0.01052069733850658,65.21932925400023,275.112432426586,0.09118895227863034,0.09225718487853568,0.8041094577997931
16,I4,optimal,6.6857621999806724,201942.88659357277,0.010225225589238107,96.6206406929599,375.57238885115333,0.03215927654990638,0.03169919524040738,0.08490274666385567
17,I1,optimal,5.8403456000378355,789.219990245764,0.010398656944744289,17.592858209868847,35.1982338882454,0.043116470222178196,0.043176222338453536,1.1310999440213614
17,I2,optimal,13.36370019998867,1999.083536234922,0.010420655948109925,46.88244447799771,94.66664691275166,0.034405631640266505,0.04095511695364517,1.4970433961698646
17,I3,optimal,6.9724275000044145,136409.64335211756,0.010517761402297765,66.750260011369,280.2176971875081,0.6999999729237476,0.6999999565933546,9.250122153207311
17,I4,optimal,7.155436699977145,200931.25077006206,0.010536124871578068,95.72865701933154,378.09442709717854,0.598861473126174,0.5988860600799963,4.491692493316888
18,I1,optimal,5.583753300015815,545.7172675410136,0.010397564037702978,13.617641808969207,27.23903898828487,0.22538696107943942,0.22540049721943337,5.6577746913542395
18,I2,optimal,11.400286499992944,1940.5920918017512,0.010431091708596796,46.28649877738997,92.84352504915846,0.14713836591921714,0.14720065029565257,2.300910155602846
18,I3,optimal,12.428204499999993,136202.82638541536,0.010528258164413273,69.6824787092539,281.772347234675,3.7409596264383493,3.7407081112365903,5.344228037769071
18,I4,optimal,5.944351599959191,200254.5186771762,0.01053385785780847,96.60832186420824,380.2451036995352,0.8741178768991558,0.873831638692497,2.629953195336977
19,I1,optimal,21.77068960003089,549.3389796263999,0.010395432764198631,12.48095115279404,24.96302900765942,0.08318509872079162,0.0831919119595664,1.6175108410996941
19,I2,optimal,200.79721440002322,1941.5158840348706,0.01043750939425081,46.12435615783165,92.32987055840816,0.03883434199151516,0.03880506114449963,0.7473557978871739
