investor,node,projection_scale,projected_power_mw,projected_energy_mwh,projected_ratio_hours
I1,N1,1.0,2.5469812455156567e-06,5.399207539854833e-06,2.119845817224194
I2,N1,1.0,6.73196918547675e-08,1.4784779554676754e-07,2.1962042824813843
I3,N1,1.0,6.5768413530795535e-09,2.445383132751314e-08,3.7181726021204433
I4,N1,1.0,6.193603649667663e-07,3.3147242998329925e-06,5.3518508566670295
I1,N2,1.0,7.9732800579132395,51.110766562054984,6.410256028988859
I2,N2,1.0,0.03575876300305601,0.0716153159754846,2.0027347134285436
I3,N2,1.0,2.388345877843922,15.309902078788822,6.410253314151394
I4,N2,1.0,7.840521684352508,41.86271245517711,5.3392764079364
I1,N3,1.0,5.813781818453541e-06,1.175102472772179e-05,2.0212359346583715
I2,N3,1.0,1.7305375580418753e-05,3.4731237064093545e-05,2.0069623396901233
I3,N3,1.0,1.851105698880378e-06,3.830805299798234e-06,2.0694686976088166
I4,N3,1.0,1.1226936225031867e-06,4.339710974445207e-06,3.8654454674546694
I1,N4,1.0,2.5755795126981192e-06,5.456733438189939e-06,2.118642973857789
I2,N4,1.0,5.98535256757564e-08,1.3142026547606637e-07,2.1956979809010315
I3,N4,1.0,1.1566801047962387e-08,3.4171417584587696e-08,2.954266909484654
I4,N4,1.0,6.193587705056243e-07,3.3147133562274457e-06,5.351846965082002
I1,N5,1.0,2.260233847531096e-06,4.92576462167191e-06,2.179316368990949
I2,N5,1.0,1.0883505535996631e-07,2.5264769097126924e-07,2.321381563464548
I3,N5,1.0,5.007694960084203e-07,1.0762211141520794e-06,2.1491347271160124
I4,N5,1.0,6.864327793373459e-07,3.4089867075839907e-06,4.966235311307375
I1,N6,1.0,2.289769354263083e-06,4.741638221033475e-06,2.0707929434925454
I2,N6,1.0,1.4116381509294955e-07,3.154240694097132e-07,2.2344541283615897
I3,N6,1.0,6.766684910706919e-07,1.4487218036680174e-06,2.140962410375731
I4,N6,1.0,6.830884620450194e-07,4.1996404550219215e-06,6.14801843153536
I1,N7,1.0,7.974227810837232,51.1168413543207,6.410255960439363
I2,N7,1.0,2.352586110314538,4.705271390212615,2.0000421534340886
I3,N7,1.0,1.8530725858415822e-09,7.957760172820498e-09,4.294359667085811
I4,N7,1.0,50.88700633207247,127.56809169038891,2.506889300147075
I1,N8,0.45898880727501623,24.726067006931178,49.452134066345394,2.0000000021225794
I2,N8,0.45898880727501623,24.725894020520723,49.451788106805175,2.0000000026597107
I3,N8,0.45898880727501623,24.72590739455552,49.45181486238109,2.0000000029632905
I4,N8,0.45898880727501623,25.822131577992575,138.79595880860697,5.375077514007348
I1,N9,1.0,5.7996561796904e-06,1.1722676647753545e-05,2.0212709658211723
I2,N9,1.0,1.7346551910440895e-05,3.4813618323753154e-05,2.006947461575855
I3,N9,1.0,1.8373742650517252e-06,3.796065597945409e-06,2.0660274121334465
I4,N9,1.0,1.1242734075932076e-06,4.3276928405714046e-06,3.849324204719854
