line,node,ptdf
L14,N1,0.0
L14,N2,-1.000000000000001
L14,N3,-1.0000000000000009
L14,N4,-1.0000000000000004
L14,N5,-1.0000000000000004
L14,N6,-1.0000000000000004
L14,N7,-1.000000000000001
L14,N8,-1.000000000000001
L14,N9,-1.0000000000000009
L45,N1,0.0
L45,N2,-0.6386603995299652
L45,N3,-0.3848413631022332
L45,N4,-8.163404592832033e-17
L45,N5,-0.8751468860164513
L45,N6,-0.13513513513513536
L45,N7,-0.6386603995299652
L45,N8,-0.5329024676850768
L45,N9,-0.3848413631022332
L46,N1,0.0
L46,N2,-0.3613396004700357
L46,N3,-0.6151586368977676
L46,N4,-7.542275982507857e-17
L46,N5,-0.12485311398354886
L46,N6,-0.8648648648648652
L46,N7,-0.3613396004700357
L46,N8,-0.46709753231492424
L46,N9,-0.6151586368977676
L69,N1,0.0
L69,N2,-0.3613396004700357
L69,N3,-0.6151586368977678
L69,N4,-1.6326809185664065e-16
L69,N5,-0.12485311398354908
L69,N6,0.1351351351351349
L69,N7,-0.3613396004700357
L69,N8,-0.467097532314924
L69,N9,-0.6151586368977678
L57,N1,0.0
L57,N2,-0.6386603995299653
L57,N3,-0.3848413631022332
L57,N4,-1.723948796001796e-16
L57,N5,0.12485311398354836
L57,N6,-0.13513513513513548
L57,N7,-0.6386603995299653
L57,N8,-0.5329024676850771
L57,N9,-0.3848413631022332
L93,N1,0.0
L93,N2,0.0
L93,N3,-0.9999999999999998
L93,N4,0.0
L93,N5,0.0
L93,N6,0.0
L93,N7,0.0
L93,N8,4.736446350789917e-16
L93,N9,0.0
L72,N1,0.0
L72,N2,-1.0
L72,N3,0.0
L72,N4,0.0
L72,N5,0.0
L72,N6,0.0
L72,N7,0.0
L72,N8,0.0
L72,N9,0.0
L98,N1,0.0
L98,N2,-0.3613396004700351
L98,N3,0.38484136310223255
L98,N4,0.0
L98,N5,-0.12485311398354874
L98,N6,0.1351351351351351
L98,N7,-0.3613396004700351
L98,N8,-0.46709753231492357
L98,N9,0.38484136310223255
L78,N1,0.0
L78,N2,0.36133960047003544
L78,N3,-0.38484136310223266
L78,N4,0.0
L78,N5,0.12485311398354906
L78,N6,-0.13513513513513511
L78,N7,0.36133960047003544
L78,N8,-0.5329024676850761
L78,N9,-0.38484136310223266
