hour,node,installed_power_mw,charge_offer_mw,accepted_charge_mw,discharge_offer_mw,accepted_discharge_mw,embedded_lambda_eur_per_mwh
1,N1,6.562912106197679e-05,3.3683814962685995e-05,1.6289695926840917e-07,3.3666558150422574e-05,2.493422616125294e-07,67.1500004869559
1,N2,4.068740280051879e-05,1.8942505663709048e-05,1.1732404962006017e-06,1.963025224672315e-05,9.476210325331082e-08,67.15000061028961
1,N3,35.14984946760999,16.651768808035484,9.980808207078835e-08,15.18995727453899,7.3728694821596905,67.15000058647864
1,N4,6.562912102272699e-05,3.3683814911202194e-05,1.6289695877875213e-07,3.366655825604792e-05,2.4934226252125776e-07,67.15000057748247
1,N5,6.122599140533536e-05,3.0058545179893864e-05,2.571489717052941e-07,3.0149571471169735e-05,1.5145782909559288e-07,67.15000061235386
1,N6,5.4244885001714536e-05,2.6268960308174126e-05,1.0694433324205742e-07,2.440749996976218e-05,1.3765964965420169e-06,67.15000058626607
1,N7,4.062354875555988e-05,1.8926166728742444e-05,1.1749432706129471e-06,1.9545313714474788e-05,9.474383312716079e-08,67.15000061028961
1,N8,100.00000084078697,49.73409575079362,9.980808120299551e-08,60.27486773874462,51.72684216835249,67.15000060004519
1,N9,40.079473416295784,20.173817157509163,9.98080818320866e-08,17.932424357265425,10.100778941120666,67.15000058830951
2,N1,6.562912106197679e-05,3.368341856152938e-05,1.6289833593472402e-07,3.366701456622935e-05,2.49338726719504e-07,67.15000042028757
2,N2,4.068740280051879e-05,1.8932601685046937e-05,1.172482902279817e-06,1.9614380418482186e-05,9.476806805904642e-08,67.15000055442513
2,N3,35.14984946760999,16.65174602747413,9.980808301497419e-08,15.633850332141613,5.275605132184218,67.15000053533386
2,N4,6.562912102272699e-05,3.36834184938518e-05,1.6289833530024603e-07,3.366701468868392e-05,2.493387279540068e-07,67.15000052268009
2,N5,6.122599140533536e-05,3.0054908877172678e-05,2.571238485855477e-07,3.0153832207967978e-05,1.514683176369875e-07,67.15000055544962
2,N6,5.4244885001714536e-05,2.624588187814936e-05,1.069450900016472e-07,2.444444875624884e-05,1.3765366289459386e-06,67.15000053314184
2,N7,4.062354875555988e-05,1.8915409684630985e-05,1.1744594019801212e-06,1.9517030610750435e-05,9.47469117034834e-08,67.15000055442513
2,N8,100.00000084078697,49.73404009238646,9.98080816531215e-08,48.007969592998116,37.39997149510908,67.15000054677482
2,N9,40.079473416295784,20.173771033678985,9.980808276064302e-08,17.899820482409382,6.709012122062237,67.15000053653016
3,N1,6.562912106197679e-05,3.368340940933499e-05,1.6289830294177196e-07,3.36670254033692e-05,2.4933881191600817e-07,67.15000035030226
3,N2,4.068740280051879e-05,1.890253691249866e-05,1.1731811309206022e-06,1.960745734672978e-05,9.476038122002197e-08,67.15000049966763
3,N3,35.14984946760999,16.65173650182434,9.980808338235378e-08,16.684386481639645,4.675730258500821,67.15000048306037
3,N4,6.562912102272699e-05,3.368340932105315e-05,1.628983021211951e-07,3.366702554722309e-05,2.493388135692258e-07,67.15000046793668
3,N5,6.122599140533536e-05,3.0053749174808776e-05,2.571017263715306e-07,3.0155287542291062e-05,1.5147756317247415e-07,67.15000049991453
3,N6,5.4244885001714536e-05,2.6238724968637777e-05,1.0693455572176426e-07,2.4400208382093445e-05,1.378040635780971e-06,67.15000047963308
3,N7,4.062354875555988e-05,1.8873846541982317e-05,1.1753960857014791e-06,1.9505387678208045e-05,9.473650556935394e-08,67.15000049966763
3,N8,100.00000084078697,49.73401731956823,9.980808196837671e-08,32.27635704944011,20.97442274121349,67.15000049387274
3,N9,40.079473416295784,20.17375251630008,9.980808318718109e-08,19.980180286847613,5.818449453077728,67.15000048395088
4,N1,6.562912106197679e-05,3.368377479945838e-05,1.6289686219404234e-07,3.366660528990503e-05,2.49342512966367e-07,67.15000014431887
4,N2,4.068740280051879e-05,1.885641092274158e-05,1.175361457450065e-06,1.9604124422117812e-05,9.4738863161066e-08,67.15000030617536
4,N3,35.14984946760999,16.65173200793975,9.980808426956604e-08,16.096346915307688,3.4801380947699836,67.15000029208595
4,N4,6.562912102272699e-05,3.368377469416141e-05,1.628968612168148e-07,3.3666605451420755e-05,2.493425149721654e-07,67.15000027477782
4,N5,6.122599140533536e-05,3.005581366312825e-05,2.5708265127597964e-07,3.015308490216089e-05,1.5148554424665366e-07,67.15000030609818
4,N6,5.4244885001714536e-05,2.6244429847104164e-05,1.0691263152539335e-07,2.4275487018023664e-05,1.381125420138816e-06,67.15000028747778
4,N7,4.062354875555988e-05,1.880838185690282e-05,1.1777942570006823e-06,1.950284354324833e-05,9.471236144366763e-08,67.15000030617536
4,N8,100.00000084078697,49.7340065489635,9.980808273478271e-08,44.30757573112797,16.415041427735563,67.15000030113531
4,N9,40.079473416295784,20.173743909919168,9.980808410465953e-08,19.09700811049159,4.075665017869236,67.15000029256636
5,N1,6.562912106197679e-05,3.368454308812681e-05,1.628940078210226e-07,3.366572134468119e-05,2.4934984325780195e-07,67.15000041182061
5,N2,4.068740280051879e-05,1.879225140778752e-05,1.1790414951207788e-06,1.9601243266023296e-05,9.470333800404139e-08,67.1500005619488
5,N3,35.14984946760999,16.651736244881192,9.980808330598385e-08,17.142582423352387,4.800548533019781,67.15000054325358
5,N4,6.562912102272699e-05,3.368454299598555e-05,1.628940070001838e-07,3.366572149304119e-05,2.493498449119499e-07,67.15000052945501
5,N5,6.122599140533536e-05,3.006173695114079e-05,2.5706663615094766e-07,3.0146528009950208e-05,1.5149225345319421e-07,67.150000562506
5,N6,5.4244885001714536e-05,2.6259184068027886e-05,1.0687914080679737e-07,2.4060030395817624e-05,1.3857810955759969e-06,67.1500005405897
5,N7,4.062354875555988e-05,1.8721516974144922e-05,1.1816933349886291e-06,1.95036274346705e-05,9.467421407153867e-08,67.1500005619488
5,N8,100.00000084078697,49.73401707903835,9.980808119618039e-08,31.600754059392774,26.137165242914058,67.1500005555562
5,N9,40.079473416295784,20.173751942502754,9.980808303766828e-08,20.79315912812295,5.97241433666547,67.15000054448664
6,N1,6.562912106197679e-05,3.368578521946243e-05,1.6288974876406425e-07,3.366429149162407e-05,2.4936078295431436e-07,67.15000052796847
6,N2,4.068740280051879e-05,1.870860702042768e-05,1.1842605919398406e-06,1.959575875737293e-05,9.465356503763862e-08,67.15000065411951
6,N3,35.14984946760999,16.651746769802436,9.980808257103005e-08,16.7842924943597,6.093017010192211,67.15000062414393
6,N4,6.562912102272699e-05,3.3685785157959076e-05,1.628897482738947e-07,3.366429160886557e-05,2.493607838646142e-07,67.15000061849504
6,N5,6.122599140533536e-05,3.0072409198088434e-05,2.570537427797778e-07,3.013462844545366e-05,1.5149766472553112e-07,67.15000065667047
6,N6,5.4244885001714536e-05,2.627917267715764e-05,1.0683385437220024e-07,2.372790220668396e-05,1.39194375729816e-06,67.1500006260872
6,N7,4.062354875555988e-05,1.8614781108830813e-05,1.1871485474051465e-06,1.9502475270564048e-05,9.462174431908983e-08,67.15000065411951
6,N8,100.00000084078697,49.734041413877385,9.980808089397522e-08,45.47721861725926,39.57677347876702,67.15000064277244
6,N9,40.079473416295784,20.173771837525013,9.980808242025552e-08,19.511076220376857,7.859553220137926,67.15000062709146
7,N1,6.562912106197679e-05,3.368761694546598e-05,1.6288408688390332e-07,3.366218141989502e-05,2.4937532818024937e-07,67.15000060300393
7,N2,4.068740280051879e-05,1.8607251322060446e-05,1.1910928735429272e-06,1.958395773275398e-05,9.458922326248594e-08,67.15000071969634
7,N3,35.14984946760999,16.651754739431208,9.980808220689458e-08,17.250784960817825,7.254318925931668,67.15000065932462
7,N4,6.562912102272699e-05,3.368761691323263e-05,1.628840867071652e-07,3.366218150735073e-05,2.493753283853279e-07,67.1500006678284
7,N5,6.122599140533536e-05,3.008910117926004e-05,2.5704402960264127e-07,3.0115929529920444e-05,1.5150175061265382e-07,67.15000072663483
7,N6,5.4244885001714536e-05,2.630168486681275e-05,1.0677649909813372e-07,2.3221173589129934e-05,1.3994076047979956e-06,67.15000066976593
7,N7,4.062354875555988e-05,1.8491338369144173e-05,1.1942439626530998e-06,1.949435828558581e-05,9.455457754800701e-08,67.15000071969634
7,N8,100.00000084078697,49.73405984912272,9.980808056571891e-08,53.767722303088235,48.58778166463478,67.1500006953399
7,N9,40.079473416295784,20.173786858779064,9.980808202602012e-08,20.525292881730483,9.86484328856332,67.15000066617806
8,N1,6.562912106197679e-05,3.369020649254207e-05,1.628770267178215e-07,3.365919534989757e-05,2.493934689390259e-07,67.15000062529656
8,N2,4.068740280051879e-05,1.8497414445633343e-05,1.19967251043476e-06,1.956278975267459e-05,9.450993871401455e-08,67.15000075936365
8,N3,35.14984946760999,16.65175477459118,9.980808185691051e-08,17.74389844022217,8.69741222912889,67.1500006670254
8,N4,6.562912102272699e-05,3.3690206476851334e-05,1.6287702672153369e-07,3.365919542056814e-05,2.4939346873801496e-07,67.15000067530943
8,N5,6.122599140533536e-05,3.0113450654573115e-05,2.570375623080315e-07,3.0088457828438515e-05,1.5150447695383203e-07,67.150000775575
8,N6,5.4244885001714536e-05,2.6325923020797164e-05,1.0670676723487573e-07,2.240598868603049e-05,1.407552430235737e-06,67.15000067547804
8,N7,4.062354875555988e-05,1.836011819482301e-05,1.2031176680118982e-06,1.9476125411444353e-05,9.44723200434121e-08,67.15000075936365
8,N8,100.00000084078697,49.734059511028626,9.98080804160267e-08,53.88169095172831,49.04850533248097,67.15000071158033
8,N9,40.079473416295784,20.1737865606327,9.980808167464502e-08,19.350300087271393,10.9210107190547,67.1500006755269
9,N1,6.562912106197679e-05,3.369378341057484e-05,1.6286857431068636e-07,3.3655064820315005e-05,2.4941519154278257e-07,67.15000058961236
9,N2,4.068740280051879e-05,1.8411216867196663e-05,1.210280497661943e-06,1.9536262469133688e-05,9.441545701649155e-08,67.15000072019343
9,N3,35.14984946760999,16.65175100416646,9.98080813065141e-08,18.28555081782766,11.167995641877198,67.15000063314832
9,N4,6.562912102272699e-05,3.3693783405438317e-05,1.628685744318322e-07,3.365506488032113e-05,2.4941519107738995e-07,67.15000062997552
9,N5,6.122599140533536e-05,3.0147357670547193e-05,2.5703439275416787e-07,3.0049685577615897e-05,1.5150581066179969e-07,67.15000074015614
9,N6,5.4244885001714536e-05,2.6346903900706628e-05,1.066241810380743e-07,2.0956045555463634e-05,1.4144219652084687e-06,67.15000062875089
9,N7,4.062354875555988e-05,1.8249660191826538e-05,1.2140423161904042e-06,1.9453145479529602e-05,9.43747391662325e-08,67.15000072019343
9,N8,100.00000084078697,49.734049522303366,9.980808048412355e-08,43.545431553579924,38.791872772659545,67.15000065549162
9,N9,40.079473416295784,20.17377865583081,9.980808101902834e-08,14.559652485925847,9.588455335823763,67.15000063680392
10,N1,6.562912106197679e-05,3.369396771930801e-05,3.375624683568624e-07,3.3654108413205354e-05,1.378766713891972e-07,60.00000066935392
10,N2,4.068740280051879e-05,3.514188817333344e-05,3.469407340775223e-05,1.9544451705750696e-05,7.003130883703136e-08,60.00000074680942
10,N3,35.14984946760999,16.651660687354592,1.2391740139971502e-07,16.651453863514423,6.748832083462947e-07,60.00000067815397
10,N4,6.562912102272699e-05,3.36939675277703e-05,3.375624696661354e-07,3.365410833051817e-05,1.3787667108387713e-07,60.00000069248027
10,N5,6.122599140533536e-05,2.7441482160771487e-05,1.1783519889848813e-06,3.000376169765864e-05,9.989374555392697e-08,60.00000075419825
10,N6,5.4244885001714536e-05,2.6288914437249852e-05,1.6624984529212993e-07,2.68267696450315e-05,2.68678806903831e-07,60.000000679040774
10,N7,4.062354875555988e-05,3.486778933665864e-05,3.442072424495329e-05,1.9469812260111398e-05,7.000550588128289e-08,60.00000074680942
10,N8,100.00000084078697,49.73383678888452,1.2302900537955488e-07,49.73324540030811,7.026659239627047e-07,60.00000067746148
10,N9,40.079473416295784,20.17361084329882,1.239174012275209e-07,20.17314821698917,6.748832230809542e-07,60.00000067815397
11,N1,6.562912106197679e-05,3.369742346247563e-05,3.375310218384987e-07,3.365016059243432e-05,1.3788316909540275e-07,60.000000581130806
11,N2,4.068740280051879e-05,2.05530173377548e-05,8.477889432832763e-08,1.665309030014201e-05,1.077987546592169e-05,100.68357051880528
11,N3,35.14984946760999,15.005978591619153,0.47101697613090554,16.651510135797857,1.160920621525846e-07,16.670344771228724
11,N4,6.562912102272699e-05,3.369742327538142e-05,3.375309942645436e-07,3.365016049466434e-05,1.3788317402038193e-07,60.000000588556176
11,N5,6.122599140533536e-05,3.02676889242419e-05,1.7033989061051273e-07,2.9944133752586355e-05,2.1771239749169508e-07,74.05733168373087
11,N6,5.4244885001714536e-05,1.685268946437364e-05,1.6267714483062016e-06,2.7192345782261354e-05,1.0525876088113282e-07,44.785006911826535
11,N7,4.062354875555988e-05,2.051452629761916e-05,8.49191088488075e-08,1.723923603641437e-05,1.0704173937969123e-05,100.68357051880528
11,N8,100.00000084078697,43.054526197561614,19.29059233517043,49.73315609576416,1.3003735090506883e-07,3.922219112336872e-06
11,N9,40.079473416295784,18.945943926112058,0.5029729218271111,20.17331398773316,1.1609205984060101e-07,16.67034477109706
12,N1,6.562912106197679e-05,3.3699721082750426e-05,3.375079981381352e-07,3.364753100365066e-05,1.3788792869871655e-07,60.00000055785405
12,N2,4.068740280051879e-05,2.0134712922914765e-05,8.533090477751414e-08,1.4533541285083852e-05,7.417814819443082e-06,100.68357302123445
12,N3,35.14984946760999,6.7073468516909625,6.191310699788581,16.65177389901178,1.1609202073613911e-07,16.670341955827848
12,N4,6.562912102272699e-05,3.36997209243865e-05,3.3750803009839194e-07,3.364753089856263e-05,1.3788792284180176e-07,60.000000562639215
12,N5,6.122599140533536e-05,3.030051395571186e-05,1.7035424119447886e-07,2.9905854238955857e-05,2.1768609449080644e-07,74.05733252934431
12,N6,5.4244885001714536e-05,1.8070540641814e-05,1.6229293157473413e-06,2.7286517672840707e-05,1.0535455687100296e-07,44.78500584453349
12,N7,4.062354875555988e-05,2.0325635072606888e-05,8.548271464313968e-08,1.5826678678867727e-05,7.521899456314612e-06,100.68357302123445
12,N8,100.00000084078697,96.2939493118053,95.96899844579417,49.73414237394278,1.3003728960450137e-07,7.112322616760467e-08
12,N9,40.079473416295784,6.672818424907527,6.142109010300988,20.173826600734657,1.1609202259394186e-07,16.67034195572066
13,N1,6.562912106197679e-05,3.370106586988807e-05,3.3749329870958013e-07,3.3645989991746615e-05,1.3789096674040212e-07,60.000000526650254
13,N2,4.068740280051879e-05,1.9883768877096725e-05,7.363351596924495e-08,3.99991638003476e-05,3.933951789931818e-05,100.68357285719601
13,N3,35.14984946760999,35.14984885067746,35.14984823374502,16.65184169039869,9.497824614656899e-08,16.670341879339897
13,N4,6.562912102272699e-05,3.370106569960064e-05,3.37493300983424e-07,3.364598988787472e-05,1.3789096626027812e-07,60.00000053027877
13,N5,6.122599140533536e-05,3.0308631423377985e-05,1.5496996006578402e-07,2.9844444007461407e-05,2.480602103880723e-07,74.05733244975724
