hour,node,lambda_reference_eur_per_mwh
1,N1,67.1499996353592
1,N2,67.14999997328754
1,N3,67.14999989695275
1,N4,67.14999987954982
1,N5,67.14999997784275
1,N6,67.14999990125033
1,N7,67.14999997328754
1,N8,67.14999994765508
1,N9,67.14999990470058
2,N1,67.14999950633171
2,N2,67.14999987113546
2,N3,67.14999981227746
2,N4,67.14999978253012
2,N5,67.149999873327
2,N6,67.1499998094051
2,N7,67.14999987113546
2,N8,67.14999985168052
2,N9,67.14999981725713
3,N1,67.14999931082855
3,N2,67.14999971479368
3,N3,67.1499996671784
3,N4,67.14999962814113
3,N5,67.14999971525786
3,N6,67.14999965915423
3,N7,67.14999971479368
3,N8,67.14999969958866
3,N9,67.14999967031217
4,N1,67.14999909676949
4,N2,67.14999953493427
4,N3,67.14999949283924
4,N4,67.14999944867563
4,N5,67.14999953444683
4,N6,67.14999948207365
4,N7,67.14999953493427
4,N8,67.14999952198129
4,N9,67.1499994950549
5,N1,67.14999937113046
5,N2,67.14999977657509
5,N3,67.14999972485727
5,N4,67.14999968844305
5,N5,67.14999977798648
5,N6,67.14999971825073
5,N7,67.14999977657509
5,N8,67.14999975951885
5,N9,67.14999972855014
6,N1,67.14999965728339
6,N2,67.14999999953432
6,N3,67.149999914465
6,N4,67.149999901474
6,N5,67.15000000602939
6,N6,67.14999992130004
6,N7,67.14999999953432
6,N8,67.14999996962332
6,N9,67.14999992328829
7,N1,67.14999984758634
7,N2,67.15000016478298
7,N3,67.1499999977797
7,N4,67.15000002244687
7,N5,67.15000018314056
7,N6,67.15000002725542
7,N7,67.15000016478298
7,N8,67.15000009979998
7,N9,67.15000001699897
8,N1,67.14999989694928
8,N2,67.15000025240728
8,N3,67.15000000975502
8,N4,67.15000003185634
8,N5,67.15000029525547
8,N6,67.15000003212623
8,N7,67.15000025240728
8,N8,67.15000012203225
8,N9,67.15000003165152
9,N1,67.14999976654697
9,N2,67.15000010546403
9,N3,67.1499998780791
9,N4,67.14999987542443
9,N5,67.15000015337533
9,N6,67.14999986961931
9,N7,67.15000010546403
9,N8,67.14999992547523
9,N9,67.14999988568516
10,N1,60.00000021405317
10,N2,60.00000042298538
10,N3,60.00000023779086
10,N4,60.000000276435294
10,N5,60.00000044291632
10,N6,60.00000024018295
10,N7,60.00000042298538
10,N8,60.000000235922904
10,N9,60.00000023779086
11,N1,59.99999997522813
11,N2,100.6835594992883
11,N3,16.670355214692734
11,N4,59.999999995121144
11,N5,74.0573275246472
11,N6,44.78501014008833
11,N7,100.68355949928831
11,N8,1.863977773196015e-05
11,N9,16.67035521450841
12,N1,59.99999991411998
12,N2,100.68356681889708
12,N3,16.670347028103745
12,N4,59.99999992708265
12,N5,74.05733000362657
12,N6,44.78500706035456
12,N7,100.68356681889708
12,N8,7.425174343169121e-06
12,N9,16.670347027748953
13,N1,59.99999985031348
13,N2,100.68357118492787
13,N3,16.670342027402164
13,N4,59.999999860700704
13,N5,74.05733146410786
13,N6,44.7850051170954
13,N7,100.68357118492787
13,N8,5.861607452390368e-07
13,N9,16.6703420244926
14,N1,59.99999974332282
14,N2,100.68357088632739
14,N3,16.67034168520991
14,N4,59.99999975221603
14,N5,74.0573312878864
14,N6,44.78500464467357
14,N7,100.68357088632739
14,N8,3.1903850495902203e-07
14,N9,16.67034168208971
15,N1,59.99999973673618
15,N2,100.68357011950197
15,N3,16.670342966083684
15,N4,59.99999974655163
15,N5,74.0573310192192
15,N6,44.785005406303334
15,N7,100.68357011950197
15,N8,1.920812855057347e-06
15,N9,16.670342964256882
16,N1,59.99999989361789
16,N2,100.68355971628795
16,N3,16.670354743164108
16,N4,59.999999908761346
16,N5,74.05732753504789
16,N6,44.78500988730086
16,N7,100.68355971628795
16,N8,1.803846841571807e-05
16,N9,16.670354742995595
17,N1,60.00000006794464
17,N2,60.00000025164994
17,N3,60.00000005207239
17,N4,60.00000011887494
17,N5,60.00000026061964
17,N6,60.00000006905415
17,N7,60.00000025164994
17,N8,60.000000040734044
17,N9,60.00000005207239
18,N1,67.14999961219876
18,N2,67.15000013330281
