hour,node,lambda_strategic_offer_eur_per_mwh,lambda_full_availability_eur_per_mwh,strategic_minus_full_availability_eur_per_mwh
1,N1,67.1500004869559,67.1499996353592,8.515967095945598e-07
1,N2,67.15000061028961,67.14999997328754,6.370020741996996e-07
1,N3,67.15000058647864,67.14999989695275,6.895258906070012e-07
1,N4,67.15000057748247,67.14999987954982,6.979326485634374e-07
1,N5,67.15000061235386,67.14999997784275,6.345111103200907e-07
1,N6,67.15000058626607,67.14999990125033,6.850157490134734e-07
1,N7,67.15000061028961,67.14999997328754,6.370020741996996e-07
1,N8,67.15000060004519,67.14999994765508,6.523901134869448e-07
1,N9,67.15000058830951,67.14999990470058,6.836089312400873e-07
2,N1,67.15000042028757,67.14999950633171,9.139558585502527e-07
2,N2,67.15000055442513,67.14999987113546,6.832896701780555e-07
2,N3,67.15000053533386,67.14999981227746,7.230564023075203e-07
2,N4,67.15000052268009,67.14999978253012,7.401499715342652e-07
2,N5,67.15000055544962,67.149999873327,6.821226179454243e-07
2,N6,67.15000053314184,67.1499998094051,7.237367327661559e-07
2,N7,67.15000055442513,67.14999987113546,6.832896701780555e-07
2,N8,67.15000054677482,67.14999985168052,6.950943003403154e-07
2,N9,67.15000053653016,67.14999981725713,7.192730322458374e-07
3,N1,67.15000035030226,67.14999931082855,1.0394737159913348e-06
3,N2,67.15000049966763,67.14999971479368,7.848739471683075e-07
3,N3,67.15000048306037,67.1499996671784,8.158819611026047e-07
3,N4,67.15000046793668,67.14999962814113,8.397955468808505e-07
3,N5,67.15000049991453,67.14999971525786,7.846566631997121e-07
3,N6,67.15000047963308,67.14999965915423,8.204788457533141e-07
3,N7,67.15000049966763,67.14999971479368,7.848739471683075e-07
3,N8,67.15000049387274,67.14999969958866,7.942840767327652e-07
3,N9,67.15000048395088,67.14999967031217,8.136387066315365e-07
4,N1,67.15000014431887,67.14999909676949,1.0475493752437615e-06
4,N2,67.15000030617536,67.14999953493427,7.712410905469369e-07
4,N3,67.15000029208595,67.14999949283924,7.992467061512798e-07
4,N4,67.15000027477782,67.14999944867563,8.261021946509572e-07
4,N5,67.15000030609818,67.14999953444683,7.716513437117101e-07
4,N6,67.15000028747778,67.14999948207365,8.054041273908297e-07
4,N7,67.15000030617536,67.14999953493427,7.712410905469369e-07
4,N8,67.15000030113531,67.14999952198129,7.791540213020198e-07
4,N9,67.15000029256636,67.1499994950549,7.975114613145706e-07
5,N1,67.15000041182061,67.14999937113046,1.0406901509441013e-06
5,N2,67.1500005619488,67.14999977657509,7.853737145069317e-07
5,N3,67.15000054325358,67.14999972485727,8.183963160490748e-07
5,N4,67.15000052945501,67.14999968844305,8.410119676227623e-07
5,N5,67.150000562506,67.14999977798648,7.845195142408556e-07
5,N6,67.1500005405897,67.14999971825073,8.223389755812605e-07
