hour,node,lambda_offer_reclear_eur_per_mwh
1,N1,67.14999906652452
1,N2,67.14999939504332
1,N3,67.14999934087434
1,N4,67.14999931071513
1,N5,67.14999940120204
1,N6,67.14999933612039
1,N7,67.14999939504332
1,N8,67.14999936563586
1,N9,67.14999934320298
2,N1,67.14999871271958
2,N2,67.14999907205546
2,N3,67.14999902691439
2,N4,67.14999898891799
2,N5,67.14999907521836
2,N6,67.14999901833758
2,N7,67.14999907205546
2,N8,67.14999905036208
2,N9,67.14999902854466
3,N1,67.14999854918644
3,N2,67.14999895070059
3,N3,67.1499989096203
3,N4,67.14999886649902
3,N5,67.14999895161012
3,N6,67.14999889877826
3,N7,67.14999895070059
3,N8,67.149998934493
3,N9,67.14999891106619
4,N1,67.14999791154082
4,N2,67.14999834779904
4,N3,67.14999831079923
4,N4,67.14999826344696
4,N5,67.14999834764743
4,N6,67.14999829789704
4,N7,67.14999834779904
4,N8,67.14999833406056
4,N9,67.14999831178588
5,N1,67.14999891558668
5,N2,67.14999931836556
5,N3,67.14999927354552
5,N4,67.14999923289926
5,N5,67.14999932024851
5,N6,67.14999926399945
5,N7,67.14999931836556
5,N8,67.14999930024564
5,N9,67.14999927546911
6,N1,67.14999955205055
6,N2,67.14999988785947
6,N3,67.14999981703848
6,N4,67.14999979624116
6,N5,67.14999989546962
6,N6,67.14999981825751
6,N7,67.14999988785947
6,N8,67.14999985556078
6,N9,67.14999982253717
7,N1,67.14999980882854
7,N2,67.15000011297174
7,N3,67.1499999684019
7,N4,67.14999998368907
7,N5,67.15000013274711
7,N6,67.1499999906124
7,N7,67.15000011297174
7,N8,67.15000004384589
7,N9,67.14999998306139
8,N1,67.14999987650943
8,N2,67.15000021803044
8,N3,67.14999999024307
8,N4,67.15000001141648
8,N5,67.1500002583739
8,N6,67.15000001107013
8,N7,67.15000021803044
8,N8,67.15000008369695
8,N9,67.15000000877016
9,N1,67.14999975477501
9,N2,67.15000009228064
9,N3,67.14999986556944
9,N4,67.14999986365245
9,N5,67.15000013951936
9,N6,67.14999985756695
9,N7,67.15000009228064
9,N8,67.14999991158778
9,N9,67.14999987299397
10,N1,60.00000021405317
10,N2,60.00000042298539
