iteration,regularization_stage,dual_tikhonov_gamma,proximal_coefficient_eur_per_mw2_day,complementarity_epsilon,investor,termination,solve_seconds,preparation_seconds,attempt_count,retry_status,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,max_complementarity_product,sum_complementarity_products,max_original_nodal_balance_residual_mw,total_absolute_original_nodal_balance_residual_mwh,max_hourly_system_balance_residual_mw,signed_primal_dual_gap_eur_per_day,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,abs_capacity_step_mw_equivalent,abs_offer_step_mw,abs_price_step_eur_per_mwh,converged_sweep_streak,max_undamped_delta_power_mw,max_undamped_delta_energy_mwh,max_undamped_rel_delta_power,max_undamped_rel_delta_energy,undamped_capacity_residual_mw_equivalent,undamped_offer_residual_mw,undamped_price_residual_eur_per_mwh
1,,,,,I1,optimal,6.313672299962491,7.119117799913511,1,not_needed,2544.7904330831693,8.510688165016363e-07,5.693291313946247e-07,0.0,0.0,0.0,0.0,0.0,-5.693291313946247e-07,9.589821633292857,19.17964362872594,7.014396628180781,7.014396684523784,,,,,28.057586512723123,,,,,,
1,,,,,I2,optimal,12.852100500138476,7.090286700055003,1,not_needed,2405.5607142315216,5.3467387592674015e-08,2.1595042198896408e-08,0.0,0.0,0.0,0.0,0.0,-2.1595042198896408e-08,9.589821512935819,19.179643419579286,6.842076810514192,6.84207687287776,,,,,27.36830724205677,,,,,,
1,,,,,I3,optimal,12.080311599886045,7.171202899888158,1,not_needed,120197.2351457686,1.284578129595772e-07,5.820766091346741e-10,0.0,0.0,0.0,0.0,0.0,5.820766091346741e-10,13.129500510514411,27.35105857596144,7.3181754815105675,7.864203695796142,,,,,29.27270192604227,,,,,,
1,,,,,I4,optimal,8.302278300048783,7.5504842000082135,1,not_needed,162923.40964611183,3.604131387474176e-06,1.5133991837501526e-09,0.0,0.0,0.0,0.0,0.0,1.5133991837501526e-09,13.584102084800344,27.742063421349616,8.042328722126602,8.329257784790329,,,,,32.169314888506406,,,,,,
2,,,,,I1,optimal,29.969977000029758,7.711745399981737,1,not_needed,473.542342867771,5.508470100450698e-08,5.844049155712128e-08,0.0,0.0,0.0,0.0,0.0,-5.844049155712128e-08,11.246010844487802,23.003691062020657,2.12006353418163,2.1200637123872927,,,,,8.48025413672652,,,,,,
2,,,,,I2,optimal,27.100289500085637,7.696331800194457,1,not_needed,411.58813989615123,5.333040523548207e-08,1.641456037759781e-07,0.0,0.0,0.0,0.0,0.0,-1.641456037759781e-07,11.246010684011837,23.01297513121181,2.192704622097974,2.1927047610199186,,,,,8.770818488391898,,,,,,
2,,,,,I3,optimal,21.241939299972728,7.225809000199661,1,not_needed,120320.84128043902,6.52886242393876e-07,4.598405212163925e-09,0.0,0.0,0.0,0.0,0.0,4.598405212163925e-09,14.792691699123415,31.34504739317771,0.4531661040250539,0.45316611670170714,,,,,7.968017714566524,,,,,,
2,,,,,I4,optimal,25.494057700037956,7.271333799930289,1,not_needed,163268.7562660907,-6.775347611867937e-08,5.6461431086063385e-09,0.0,0.0,0.0,0.0,0.0,-5.6461431086063385e-09,15.240293528257356,31.73812645761677,0.38726145553391694,0.3872614695400615,,,,,7.513414929894017,,,,,,
3,,,,,I1,optimal,120.15607040002942,8.607262199977413,1,not_needed,350.0004821819601,5.329380543105148e-08,2.112938091158867e-08,0.0,0.0,0.0,0.0,0.0,-2.112938091158867e-08,11.244259981085355,22.939999300363066,0.21553366782553718,0.2155334814461799,,,,,1.0506757984228439,,,,,,
3,,,,,I2,optimal,22.117152399849147,8.552437599981204,1,not_needed,308.8469384748862,5.3788449179160166e-08,1.7695128917694092e-08,0.0,0.0,0.0,0.0,0.0,-1.7695128917694092e-08,11.244259589869396,22.956237817962595,0.2499708459682851,0.24997062724532448,,,,,1.2685802179635792,,,,,,
