investor,node,projection_scale,projected_power_mw,projected_energy_mwh,projected_ratio_hours
I1,N1,1.0,0.0,0.0,0.0
I2,N1,1.0,0.0,0.0,0.0
I3,N1,1.0,0.0,0.0,0.0
I4,N1,1.0,0.0,0.0,0.0
I1,N2,1.0,7.972867019210686,51.10811914466621,6.410256062407763
I2,N2,1.0,0.012120276357333598,0.07767308412474938,6.408524181690943
I3,N2,1.0,2.3883458379102636,15.309907937811046,6.410255874503833
I4,N2,1.0,8.172871005394956,43.28300480827402,5.295936370426338
I1,N3,1.0,0.0,0.0,0.0
I2,N3,1.0,0.0,0.0,0.0
I3,N3,1.0,0.0,0.0,0.0
I4,N3,1.0,0.0,0.0,0.0
I1,N4,1.0,0.0,0.0,0.0
I2,N4,1.0,0.0,0.0,0.0
I3,N4,1.0,0.0,0.0,0.0
I4,N4,1.0,0.0,0.0,0.0
I1,N5,1.0,0.0,0.0,0.0
I2,N5,1.0,0.0,0.0,0.0
I3,N5,1.0,0.0,0.0,0.0
I4,N5,1.0,0.0,0.0,0.0
I1,N6,1.0,0.0,0.0,0.0
I2,N6,1.0,0.0,0.0,0.0
I3,N6,1.0,0.0,0.0,0.0
I4,N6,1.0,0.0,0.0,0.0
I1,N7,1.0,7.97464087764618,51.119489379538834,6.410255980658959
I2,N7,1.0,2.3762245383680995,15.23218442765769,6.410246246391587
I3,N7,1.0,0.0,0.0,0.0
I4,N7,1.0,50.55465694207815,126.14779466882348,2.4952754562918793
I1,N8,0.4589887923876404,24.726066267546706,49.45213258757667,2.0000000021225883
I2,N8,0.4589887923876404,24.725894450256842,49.45178896246424,2.000000002505493
I3,N8,0.4589887923876404,24.72590796524897,49.45181598924486,2.0000000023759252
I4,N8,0.4589887923876404,25.822131316947477,138.7959569736542,5.375077497284672
I1,N9,1.0,0.0,0.0,0.0
I2,N9,1.0,0.0,0.0,0.0
I3,N9,1.0,0.0,0.0,0.0
I4,N9,1.0,0.0,0.0,0.0
