hour,node,shed_mw,bound_mw,marginal_wtp_eur_per_mwh,xi_shed_dual
1,N1,-9.964098802510896e-09,0.0,4000.0,-57624.8444853389
1,N2,-9.964098483315889e-09,0.0,4000.0,-57624.85188542112
1,N3,-9.964098570969556e-09,0.0,4000.0,-57624.848782648274
1,N4,-9.964098483315902e-09,0.0,4000.0,-58026.583996587244
1,N5,-9.964033465645842e-09,371.25,3999.9999997316086,9.618992707320741e-09
1,N6,-9.964033772522001e-09,35.64,3999.9999972042556,6.031174034587614e-09
1,N7,-9.964098483315889e-09,0.0,4000.0,-57624.851913636325
1,N8,-9.964033768905674e-09,39.6,3999.9999974838297,6.428056631129197e-09
1,N9,-9.964098483315927e-09,0.0,4000.0,-57624.851371765195
2,N1,-9.964098850920458e-09,0.0,4000.0,-57624.8932199362
2,N2,-9.964098527918314e-09,0.0,4000.0,-57624.89910689036
2,N3,-9.964098593270666e-09,0.0,4000.0,-57624.89408189235
2,N4,-9.964098527918326e-09,0.0,4000.0,-57624.900808624276
2,N5,-9.964033525842504e-09,354.375,3999.999999718828,9.600849502907442e-09
2,N6,-9.964033818764572e-09,34.02,3999.9999970711247,5.842182321948736e-09
2,N7,-9.964098527918314e-09,0.0,4000.0,-57624.89912278693
2,N8,-9.964033815313095e-09,37.8,3999.9999973640124,6.257964089754243e-09
2,N9,-9.964098527918339e-09,0.0,4000.0,-57624.89645383341
3,N1,-9.964098887001372e-09,0.0,4000.0,-57624.91658639365
3,N2,-9.964098560191884e-09,0.0,4000.0,-57624.921804267724
3,N3,-9.964098609407398e-09,0.0,4000.0,-57624.91649354692
3,N4,-9.964098560191896e-09,0.0,4000.0,-57624.92432724679
3,N5,-9.964033568521377e-09,343.125,3999.9999997096093,9.587762601363422e-09
3,N6,-9.964033852140604e-09,32.94,3999.999996975096,5.705860430864945e-09
3,N7,-9.964098560191884e-09,0.0,4000.0,-57624.921818434406
3,N8,-9.964033848799045e-09,36.6,3999.9999972775863,6.135274387778856e-09
3,N9,-9.964098560191906e-09,0.0,4000.0,-57624.91846086802
4,N1,-9.964098906945765e-09,0.0,4000.0,-57624.9235847633
4,N2,-9.964098577597981e-09,0.0,4000.0,-57624.92841753449
4,N3,-9.964098618110425e-09,0.0,4000.0,-57624.9231287771
4,N4,-9.964098577597993e-09,0.0,4000.0,-57624.931020680626
4,N5,-9.964033591134708e-09,337.5,3999.9999997047694,9.58089197805281e-09
4,N6,-9.964033870102468e-09,32.4,3999.999996924681,5.634291438045951e-09
4,N7,-9.964098577597981e-09,0.0,4000.0,-57624.928430144784
4,N8,-9.964033866815875e-09,36.0,3999.999997232213,6.070862294241775e-09
4,N9,-9.964098577598e-09,0.0,4000.0,-57624.92490909205
5,N1,-9.9640988746728e-09,0.0,4000.0,-57624.94511357009
5,N2,-9.964098547863088e-09,0.0,4000.0,-57624.94992848643
5,N3,-9.964098603243017e-09,0.0,4000.0,-57624.943943450824
5,N4,-9.9640985478631e-09,0.0,4000.0,-57624.95280757179
5,N5,-9.964033551003748e-09,348.75,3999.999999714293,9.594411591664012e-09
5,N6,-9.964033839274342e-09,33.48,3999.9999970238846,5.775120746496227e-09
5,N7,-9.964098547863088e-09,0.0,4000.0,-57624.94994243582
5,N8,-9.96403383587782e-09,37.2,3999.9999973214963,6.197608671846997e-09
5,N9,-9.964098547863108e-09,0.0,4000.0,-57624.946126126946
6,N1,-9.964098777853603e-09,0.0,4000.0,-57624.933589624765
6,N2,-9.964098458658157e-09,0.0,4000.0,-57624.93835897707
6,N3,-9.964098558640752e-09,0.0,4000.0,-57624.93116180241
6,N4,-9.96409845865817e-09,0.0,4000.0,-57624.94091420454
6,N5,-9.964033430610315e-09,382.5,3999.9999997395025,9.63019880416425e-09
6,N6,-9.964033746789051e-09,36.72,3999.999997286483,6.147904210041029e-09
6,N7,-9.964098458658157e-09,0.0,4000.0,-57624.93837453031
6,N8,-9.964033743062817e-09,40.8,3999.999997557835,6.533113789037252e-09
6,N9,-9.964098458658192e-09,0.0,4000.0,-57624.93455888038
7,N1,-9.96409864121618e-09,0.0,4000.0,-57624.95274946122
7,N2,-9.964098334711771e-09,0.0,4000.0,-57624.9587620613
7,N3,-9.964098496669039e-09,0.0,4000.0,-57624.94913578727
7,N4,-9.964098334711791e-09,0.0,4000.0,-57624.96042071049
7,N5,-9.964033244483475e-09,450.0,3999.999999778577,9.685668983539616e-09
7,N6,-9.964033620132547e-09,43.2,3999.9999976935105,6.725718578535336e-09
7,N7,-9.964098334711771e-09,0.0,4000.0,-57624.95878683504
7,N8,-9.964033631833556e-09,48.0,3999.9999979241597,7.053146720682038e-09
7,N9,-9.964098336089954e-09,0.0,4000.0,-57624.95454565288
8,N1,-9.964098602938894e-09,0.0,4000.0,-57624.87597732186
8,N2,-9.96409830912731e-09,0.0,4000.0,-57624.88297286855
8,N3,-9.964098487585777e-09,0.0,4000.0,-57624.87473498948
8,N4,-9.96409830912734e-09,0.0,4000.0,-57624.88357145793
8,N5,-9.964033167363494e-09,506.25,3999.9999998031794,9.720594652035217e-09
8,N6,-9.964033604146559e-09,48.6,3999.9999979497875,7.089527625365001e-09
8,N7,-9.96409830912731e-09,0.0,4000.0,-57624.88299939494
8,N8,-9.964033631559448e-09,54.0,3999.9999981548085,7.380574862828688e-09
8,N9,-9.96409832299618e-09,0.0,4000.0,-57624.88019182681
9,N1,-9.964098710363044e-09,0.0,4000.0,-57624.941432661406
9,N2,-9.964098429246622e-09,0.0,4000.0,-57624.94917753495
9,N3,-9.964098543935105e-09,0.0,4000.0,-57624.94117648125
9,N4,-9.964098429246652e-09,0.0,4000.0,-57624.94872047901
9,N5,-9.964033272486773e-09,523.125,3999.9999998095286,9.729607727776016e-09
9,N6,-9.964033756124391e-09,50.22,3999.999998015923,7.183413830998454e-09
9,N7,-9.964098429246622e-09,0.0,4000.0,-57624.94919387034
9,N8,-9.96403382677963e-09,55.8,3999.999998214331,7.465072447898783e-09
